phase_clean,log_enrollment,is_industry,duration_missing,is_interventional,target,nct_id
2.0,4.394449154672439,1,0,1,0,NCT00355524
2.0,2.4849066497880004,0,0,1,0,NCT01196624
4.0,4.2626798770413155,1,0,1,0,NCT00147524
2.0,0.6931471805599453,0,1,1,0,NCT01281124
0.0,5.198497031265826,0,1,1,0,NCT05178524
4.0,5.313205979041787,1,0,1,0,NCT00402324
4.0,3.4965075614664802,0,1,1,0,NCT06201923
0.0,2.5649493574615367,0,1,0,0,NCT05614323
0.0,4.04305126783455,0,0,1,0,NCT01970423
1.0,5.081404364984463,0,1,1,0,NCT03122223
3.0,3.713572066704308,1,0,1,0,NCT00005623
0.0,4.248495242049359,0,1,1,0,NCT06965959
0.0,4.174387269895637,0,1,1,0,NCT04570059
0.0,4.672828834461906,0,1,1,0,NCT04818723
2.0,5.111987788356544,1,0,1,0,NCT00672659
0.0,6.061456918928017,0,1,0,0,NCT06434259
0.0,4.110873864173311,0,1,1,0,NCT07276659
0.0,6.340359303727752,0,0,1,0,NCT02438059
0.0,5.3230099791384085,1,0,1,0,NCT02236559
0.0,6.90875477931522,0,1,0,0,NCT04656379
0.0,4.941642422609304,0,1,1,0,NCT03343379
0.0,2.9444389791664403,0,1,0,0,NCT02926079
0.0,3.4339872044851463,0,1,1,0,NCT04921579
0.0,3.4011973816621555,0,1,0,0,NCT05666596
0.0,4.1588830833596715,0,0,1,0,NCT00003196
4.0,3.9318256327243257,0,0,1,0,NCT02456896
0.0,4.04305126783455,0,0,1,0,NCT00686296
0.0,4.174387269895637,0,1,1,0,NCT07491796
4.0,4.0943445622221,0,1,1,0,NCT04412096
1.0,3.8918202981106265,1,0,1,0,NCT02620696
0.0,2.6390573296152584,0,1,1,0,NCT06703996
0.0,5.680172609017068,0,0,1,0,NCT01676896
2.0,4.890349128221754,1,1,1,0,NCT02598596
0.0,4.110873864173311,0,1,0,0,NCT07186062
0.0,4.060443010546419,0,1,1,0,NCT04374162
2.0,4.574710978503383,0,1,1,0,NCT03799562
0.0,3.9318256327243257,0,1,1,0,NCT07080762
0.0,3.4339872044851463,0,1,1,0,NCT03510962
2.0,4.189654742026425,0,0,1,0,NCT01246362
4.0,4.07753744390572,0,1,1,0,NCT00598962
2.0,3.4339872044851463,1,1,1,0,NCT04930562
3.0,3.4339872044851463,1,0,1,0,NCT00406562
1.0,3.9318256327243257,1,1,1,0,NCT01568762
0.0,4.61512051684126,0,0,0,0,NCT01458262
0.0,3.9512437185814275,0,1,1,0,NCT07478562
1.0,3.2188758248682006,1,0,1,0,NCT01115946
0.0,4.356708826689592,0,0,0,0,NCT02842346
2.0,2.3978952727983707,0,1,1,0,NCT01612546
0.0,3.713572066704308,0,0,1,0,NCT01554046
0.0,5.123963979403259,0,1,1,0,NCT03838146
0.0,2.70805020110221,0,0,1,0,NCT02157246
1.0,5.170483995038151,1,1,1,0,NCT03480646
0.0,3.295836866004329,0,1,1,0,NCT03455946
0.0,8.291797105048733,0,1,1,0,NCT03805646
0.0,3.6109179126442243,0,1,1,0,NCT04133688
1.0,1.9459101490553132,0,0,1,0,NCT01908088
0.0,6.077642243349034,0,1,1,0,NCT03202888
4.0,5.351858133476067,0,1,1,0,NCT05108688
0.0,4.30406509320417,0,0,1,0,NCT02559388
0.0,5.389071729816501,1,0,0,0,NCT02218788
0.0,4.2626798770413155,0,1,1,0,NCT07054203
1.0,4.189654742026425,1,0,1,0,NCT01176903
1.0,2.9444389791664403,1,1,1,0,NCT06057103
0.0,2.9444389791664403,0,1,0,0,NCT00071903
0.0,4.143134726391533,0,1,0,0,NCT00467103
4.0,3.713572066704308,0,0,1,0,NCT01162603
0.0,5.707110264748875,0,1,0,0,NCT05604703
3.0,6.133398042996649,0,1,1,0,NCT05837403
0.0,8.34283980427146,1,0,0,0,NCT00997503
0.0,7.1204443723924875,1,0,0,0,NCT01768403
3.0,4.61512051684126,1,1,1,0,NCT02692703
4.0,5.673323267171493,0,0,1,0,NCT01436903
4.0,5.198497031265826,0,0,1,0,NCT01414803
1.0,3.970291913552122,0,0,1,0,NCT00776503
3.0,5.6240175061873385,0,0,1,0,NCT02803827
0.0,6.822197390620491,0,0,0,0,NCT02256527
2.0,1.791759469228055,1,1,1,0,NCT05035927
0.0,5.8944028342648505,1,1,0,0,NCT05051527
1.0,4.110873864173311,0,1,1,0,NCT07140627
0.0,4.795790545596741,0,1,0,0,NCT06883461
0.0,6.415096959171596,0,0,0,0,NCT00001361
3.0,6.775366090936392,1,1,1,0,NCT02629861
0.0,2.1972245773362196,0,1,1,0,NCT05154461
0.0,1.6094379124341003,0,1,1,0,NCT06199661
0.0,3.1780538303479458,0,1,1,0,NCT06264661
0.0,1.3862943611198906,0,1,1,0,NCT04458961
0.0,5.056245805348308,0,1,1,0,NCT05275361
0.0,3.828641396489095,0,1,0,0,NCT03025061
1.0,2.302585092994046,1,1,1,0,NCT06291961
0.0,5.25227342804663,0,1,1,0,NCT04085861
2.0,6.230481447578482,1,0,1,0,NCT01428661
0.0,4.110873864173311,0,1,0,0,NCT05249842
0.0,3.9512437185814275,0,0,0,0,NCT01695642
0.0,3.713572066704308,0,0,1,0,NCT02077842
1.0,3.5263605246161616,1,1,1,0,NCT03259542
1.0,3.2188758248682006,1,0,1,0,NCT01153542
3.0,6.218600119691729,1,1,1,0,NCT00463242
4.0,3.7376696182833684,0,0,1,0,NCT01721486
3.0,4.127134385045092,1,1,1,0,NCT02806986
0.0,3.044522437723423,0,1,0,0,NCT03414086
0.0,3.713572066704308,0,1,1,0,NCT07187986
3.0,5.3230099791384085,0,1,1,0,NCT02231086
1.0,2.9444389791664403,1,0,1,0,NCT00388986
0.0,4.02535169073515,0,1,1,0,NCT04190186
2.0,3.871201010907891,0,1,1,0,NCT04487886
0.0,4.110873864173311,0,1,1,0,NCT04491786
0.0,3.970291913552122,0,0,1,0,NCT01651286
0.0,4.110873864173311,0,1,0,0,NCT04832386
0.0,4.330733340286331,0,1,1,0,NCT06160570
